candidate_id,rank,score,reasoning
CAND_0046064,1,0.85967,"Top-tier candidate. Senior NLP Engineer — 8.9 years experience; 4 core AI skills (Pinecone, OpenSearch, Elasticsearch); production Pinecone experience; high recruiter response (78%)."
CAND_0008425,2,0.8525,"Top-tier candidate. Senior NLP Engineer — 7.8 years experience; 5 core AI skills (pgvector, NLP, Semantic Search); production Pinecone experience; response rate 66%."
CAND_0018499,3,0.85249,"Top-tier candidate. Senior Machine Learning Engineer — 7.2 years experience; 6 core AI skills (Recommendation Systems, Pinecone, Information Retrieval); production Milvus experience; response rate 61%."
CAND_0002025,4,0.844,"Top-tier candidate. Senior AI Engineer — 5.9 years experience; 6 core AI skills (FAISS, OpenSearch, NLP); production Faiss experience; high recruiter response (80%)."
CAND_0005649,5,0.838636,"Top-tier candidate. Senior Data Scientist — 7.4 years experience; 5 core AI skills (Fine-tuning LLMs, Recommendation Systems, Semantic Search); production Pinecone experience; response rate 57%."
CAND_0028793,6,0.8375,"Top-tier candidate. Search Engineer — 7.2 years experience; 4 core AI skills (Embeddings, Information Retrieval, pgvector); production Pinecone experience; response rate 57%. Concern: notice period 120 days may impact timeline."
CAND_0081846,7,0.835,"Top-tier candidate. Lead AI Engineer — 6.7 years experience; 7 core AI skills (Information Retrieval, pgvector, Elasticsearch); production Faiss experience; high recruiter response (73%)."
CAND_0007412,8,0.823218,"Top-tier candidate. Applied ML Engineer — 7.4 years experience; 4 core AI skills (Pinecone, Milvus, RAG); production Milvus experience; high recruiter response (76%). Concern: notice period 120 days may impact timeline."
CAND_0010257,9,0.822727,"Top-tier candidate. Senior Data Scientist — 6.5 years experience; 4 core AI skills (Milvus, OpenSearch, Recommendation Systems); production Milvus experience; high recruiter response (72%). Concern: notice period 120 days may impact timeline."
CAND_0027801,10,0.8225,"Top-tier candidate. NLP Engineer — 7.4 years experience; 4 core AI skills (FAISS, Milvus, OpenSearch); production Milvus experience; response rate 65%. Concern: notice period 120 days may impact timeline."
CAND_0011162,11,0.820588,"Recommendation Systems Engineer — 5.8 years experience; 6 core AI skills (FAISS, Vector Search, Milvus); production Milvus experience; high recruiter response (75%)."
CAND_0071974,12,0.817826,"Senior AI Engineer — 7.8 years experience; 5 core AI skills (Pinecone, Information Retrieval, Embeddings); production Pinecone experience; high recruiter response (76%)."
CAND_0041610,13,0.816171,"Recommendation Systems Engineer — 6.7 years experience; 5 core AI skills (Elasticsearch, OpenSearch, Embeddings); production Pinecone experience; response rate 52%."
CAND_0086022,14,0.813254,"Senior Applied Scientist — 5.3 years experience; 8 core AI skills (Vector Search, Recommendation Systems, pgvector); production Pinecone experience; response rate 55%."
CAND_0055905,15,0.8125,"Senior Machine Learning Engineer — 8.1 years experience; 7 core AI skills (Elasticsearch, LLMs, OpenSearch); production Faiss experience; high recruiter response (87%)."
CAND_0058575,16,0.808478,"AI Engineer — 5.8 years experience; 2 core AI skills (Recommendation Systems, Pinecone); production Pinecone experience; response rate 69%."
CAND_0064326,17,0.807198,"Search Engineer — 7.6 years experience; 3 core AI skills (Milvus, Semantic Search, RAG); production Milvus experience; high recruiter response (94%)."
CAND_0079387,18,0.804506,"AI Engineer — 6.9 years experience; 3 core AI skills (Recommendation Systems, Vector Search, OpenSearch); production Pinecone experience; high recruiter response (81%)."
CAND_0041568,19,0.799221,"Search Engineer — 5.2 years experience; 4 core AI skills (Vector Search, Semantic Search, Recommendation Systems); production Pinecone experience; response rate 52%."
CAND_0052682,20,0.79891,"NLP Engineer — 6.6 years experience; 5 core AI skills (Semantic Search, FAISS, LLMs); production Pinecone experience; high recruiter response (88%)."
CAND_0077337,21,0.797199,"Staff Machine Learning Engineer — 7.0 years experience; 8 core AI skills (Semantic Search, pgvector, Pinecone); production Pinecone experience; high recruiter response (95%)."
CAND_0046525,22,0.795,"Senior Machine Learning Engineer — 6.1 years experience; 5 core AI skills (Elasticsearch, Information Retrieval, LLMs); production Faiss experience; high recruiter response (88%)."
CAND_0044222,23,0.793696,"AI Engineer — 7.7 years experience; 4 core AI skills (Vector Search, OpenSearch, NLP); production Faiss experience; response rate 60%."
CAND_0095528,24,0.793188,"Senior Data Scientist — 5.3 years experience; 7 core AI skills (OpenSearch, Semantic Search, Vector Search); production Qdrant experience; response rate 55%."
CAND_0011687,25,0.7925,"Senior NLP Engineer — 7.8 years experience; 4 core AI skills (OpenSearch, FAISS, Embeddings); production Pinecone experience; high recruiter response (89%)."
CAND_0006418,26,0.791119,"Machine Learning Engineer — 5.7 years experience; 4 core AI skills (Semantic Search, Embeddings, Elasticsearch); production Weaviate experience; high recruiter response (92%)."
CAND_0066376,27,0.785,"Applied ML Engineer — 5.7 years experience; 7 core AI skills (Recommendation Systems, LLMs, Fine-tuning LLMs); production Faiss experience; response rate 51%."
CAND_0053591,28,0.7825,"AI Engineer — 5.3 years experience; 4 core AI skills (Embeddings, Milvus, OpenSearch); production Milvus experience; high recruiter response (81%)."
CAND_0006557,29,0.78249,"NLP Engineer — 7.9 years experience; 6 core AI skills (Elasticsearch, OpenSearch, Vector Search); production Weaviate experience; response rate 63%. Concern: notice period 120 days may impact timeline."
CAND_0075574,30,0.78,"Machine Learning Engineer — 5.7 years experience; 5 core AI skills (pgvector, Recommendation Systems, OpenSearch); production Pinecone experience; response rate 58%."
CAND_0000031,31,0.776329,"Solid experience. Recommendation Systems Engineer — 6.0 years experience; 4 core AI skills (FAISS, Pinecone, Embeddings); production Pinecone experience; high recruiter response (91%)."
CAND_0070398,32,0.775706,"Solid experience. Machine Learning Engineer — 7.2 years experience; 7 core AI skills (RAG, FAISS, Embeddings); production Faiss experience; response rate 60%. Concern: notice period 120 days may impact timeline."
CAND_0098846,33,0.775278,Solid experience. AI Engineer — 7.6 years experience; 1 core AI skill (Recommendation Systems); production Pinecone experience; response rate 62%.
CAND_0018549,34,0.775,"Solid experience. Recommendation Systems Engineer — 6.8 years experience; 4 core AI skills (Elasticsearch, Milvus, Fine-tuning LLMs); production Milvus experience; high recruiter response (73%)."
CAND_0050876,35,0.772958,"Solid experience. Applied ML Engineer — 6.0 years experience; 2 core AI skills (FAISS, OpenSearch); production Faiss experience; response rate 67%."
CAND_0052335,36,0.770658,"Solid experience. Applied ML Engineer — 6.4 years experience; 2 core AI skills (NLP, Semantic Search); production Pinecone experience; high recruiter response (79%)."
CAND_0066999,37,0.77,"Solid experience. Recommendation Systems Engineer — 5.9 years experience; 6 core AI skills (OpenSearch, FAISS, LLMs); production Pinecone experience; response rate 63%."
CAND_0076163,38,0.7675,"Solid experience. NLP Engineer — 6.9 years experience; 3 core AI skills (Semantic Search, Elasticsearch, OpenSearch); production Weaviate experience; high recruiter response (84%)."
CAND_0052328,39,0.766526,"Solid experience. Recommendation Systems Engineer — 6.5 years experience; 4 core AI skills (OpenSearch, Recommendation Systems, Fine-tuning LLMs); production Pinecone experience; high recruiter response (79%)."
CAND_0016163,40,0.764747,"Solid experience. Applied ML Engineer — 6.7 years experience; 3 core AI skills (Embeddings, pgvector, Pinecone); production Faiss experience; high recruiter response (72%). Concern: notice period 120 days may impact timeline."
CAND_0050454,41,0.76287,"Solid experience. AI Engineer — 6.8 years experience; 4 core AI skills (Fine-tuning LLMs, FAISS, NLP); production Faiss experience; high recruiter response (77%)."
CAND_0077285,42,0.761808,"Solid experience. Recommendation Systems Engineer — 5.5 years experience; 7 core AI skills (Pinecone, Embeddings, Information Retrieval); production Pinecone experience; response rate 56%."
CAND_0014440,43,0.761447,"Solid experience. Recommendation Systems Engineer — 6.4 years experience; 4 core AI skills (Elasticsearch, Milvus, FAISS); production Milvus experience; response rate 64%."
CAND_0005538,44,0.761123,"Solid experience. Senior AI Engineer — 5.9 years experience; 3 core AI skills (Vector Representations, Information Retrieval Systems, pgvector); search/ranking mention; high recruiter response (81%)."
CAND_0093912,45,0.76,"Solid experience. Senior Data Scientist — 5.3 years experience; 5 core AI skills (Milvus, Embeddings, Recommendation Systems); production Milvus experience; response rate 66%."
CAND_0072660,46,0.754702,"Solid experience. Machine Learning Engineer — 7.1 years experience; 6 core AI skills (pgvector, Information Retrieval, OpenSearch); production Faiss experience; response rate 53%."
CAND_0065195,47,0.753525,"Solid experience. Search Engineer — 5.1 years experience; 3 core AI skills (LLMs, Elasticsearch, pgvector); production Pinecone experience; high recruiter response (80%)."
CAND_0062247,48,0.7525,"Solid experience. AI Engineer — 7.3 years experience; 4 core AI skills (Pinecone, Vector Search, RAG); production Pinecone experience; high recruiter response (78%)."
CAND_0078002,49,0.752162,"Solid experience. Machine Learning Engineer — 6.3 years experience; 2 core AI skills (pgvector, NLP); production Pgvector experience; high recruiter response (86%)."
CAND_0029367,50,0.751455,"Solid experience. Senior Data Scientist — 5.7 years experience; 6 core AI skills (FAISS, RAG, NLP); production Pinecone experience; high recruiter response (77%)."
CAND_0041669,51,0.750579,"Solid experience. Recommendation Systems Engineer — 8.0 years experience; 4 core AI skills (FAISS, Milvus, Semantic Search); production Milvus experience; high recruiter response (77%)."
CAND_0053695,52,0.748529,"Solid experience. Recommendation Systems Engineer — 5.8 years experience; 4 core AI skills (Pinecone, Recommendation Systems, pgvector); production Pinecone experience; response rate 60%."
CAND_0002706,53,0.745244,"Solid experience. Junior ML Engineer — 6.9 years experience; 3 core AI skills (LLMs, Semantic Search, Fine-tuning LLMs); search/ranking mention; response rate 58%."
CAND_0078492,54,0.744631,"Solid experience. Recommendation Systems Engineer — 5.1 years experience; 4 core AI skills (FAISS, Recommendation Systems, LLMs); production Faiss experience; high recruiter response (70%)."
CAND_0027691,55,0.744342,"Solid experience. NLP Engineer — 6.5 years experience; 3 core AI skills (Recommendation Systems, Embeddings, Semantic Search); production Faiss experience; response rate 68%."
CAND_0073314,56,0.740574,"Solid experience. Senior Software Engineer (ML) — 5.2 years experience; 2 core AI skills (Milvus, Elasticsearch); production Milvus experience; high recruiter response (84%)."
CAND_0039962,57,0.739513,"Solid experience. ML Engineer — 6.5 years experience; 2 core AI skills (Pinecone, LLMs); production Pinecone experience; high recruiter response (74%)."
CAND_0069905,58,0.739167,Solid experience. Applied ML Engineer — 6.6 years experience; 1 core AI skill (Recommendation Systems); production Pinecone experience; high recruiter response (78%).
CAND_0060257,59,0.737609,"Solid experience. AI Specialist — 5.8 years experience; 4 core AI skills (Recommendation Systems, Vector Search, Milvus); production Milvus experience; response rate 57%."
CAND_0093763,60,0.737373,"Solid experience. Senior Software Engineer (ML) — 5.0 years experience; 3 core AI skills (FAISS, Vector Search, pgvector); production Faiss experience; high recruiter response (92%)."
CAND_0020350,61,0.735808,"Adjacent experience. AI Engineer — 5.8 years experience; 5 core AI skills (NLP, LLMs, FAISS); production Faiss experience; response rate 58%."
CAND_0079064,62,0.735726,"Adjacent experience. Senior Data Scientist — 5.2 years experience; 6 core AI skills (OpenSearch, NLP, Semantic Search); production Pinecone experience; high recruiter response (91%). Concern: notice period 120 days may impact timeline."
CAND_0073883,63,0.735716,"Adjacent experience. AI Specialist — 5.3 years experience; 3 core AI skills (Vector Search, OpenSearch, FAISS); search/ranking mention; high recruiter response (92%)."
CAND_0059017,64,0.735475,"Adjacent experience. AI Research Engineer — 6.8 years experience; 2 core AI skills (FAISS, Fine-tuning LLMs); production Faiss experience; high recruiter response (75%)."
CAND_0024990,65,0.735328,"Adjacent experience. Junior ML Engineer — 5.2 years experience; 5 core AI skills (OpenSearch, NLP, Milvus); production Milvus experience; high recruiter response (83%)."
CAND_0082086,66,0.735137,"Adjacent experience. Senior Software Engineer (ML) — 6.0 years experience; 3 core AI skills (FAISS, Pinecone, Milvus); production Pinecone experience; high recruiter response (85%)."
CAND_0051292,67,0.733833,"Adjacent experience. Applied ML Engineer — 5.2 years experience; 8 core AI skills (pgvector, FAISS, LLMs); production Pinecone experience; response rate 52%."
CAND_0093193,68,0.732553,"Adjacent experience. Senior Machine Learning Engineer — 7.9 years experience; 6 core AI skills (Ranking Systems, Vector Representations, OpenSearch); production Qdrant experience; response rate 61%."
CAND_0018722,69,0.730513,"Adjacent experience. Recommendation Systems Engineer — 6.6 years experience; 2 core AI skills (Recommendation Systems, LLMs); production Faiss experience; high recruiter response (79%)."
CAND_0076251,70,0.730165,"Adjacent experience. Search Engineer — 7.6 years experience; 4 core AI skills (Fine-tuning LLMs, LLMs, Elasticsearch); production Faiss experience; response rate 51%."
CAND_0017960,71,0.728736,Adjacent experience. Recommendation Systems Engineer — 7.7 years experience; 1 core AI skill (Information Retrieval); production Pinecone experience; high recruiter response (72%).
CAND_0088025,72,0.725,"Adjacent experience. Staff Machine Learning Engineer — 8.6 years experience; 6 core AI skills (Pinecone, LLMs, RAG); production Pinecone experience; high recruiter response (83%)."
CAND_0053527,73,0.724878,Adjacent experience. Junior ML Engineer — 7.0 years experience; 1 core AI skill (Pinecone); production Pinecone experience; high recruiter response (81%).
CAND_0028422,74,0.724231,"Adjacent experience. Junior ML Engineer — 5.5 years experience; 4 core AI skills (Pinecone, pgvector, OpenSearch); production Pinecone experience; high recruiter response (76%)."
CAND_0046353,75,0.723919,"Adjacent experience. ML Engineer — 6.4 years experience; 3 core AI skills (FAISS, NLP, Vector Search); production Faiss experience; high recruiter response (73%). Concern: notice period 120 days may impact timeline."
CAND_0073504,76,0.722821,"Adjacent experience. Junior ML Engineer — 6.6 years experience; 4 core AI skills (Elasticsearch, pgvector, RAG); production Elasticsearch experience; high recruiter response (78%)."
CAND_0054100,77,0.72007,"Adjacent experience. Junior ML Engineer — 6.0 years experience; 4 core AI skills (Vector Search, Semantic Search, Pinecone); search/ranking mention; high recruiter response (79%)."
CAND_0015578,78,0.72,"Adjacent experience. AI Engineer — 5.4 years experience; 5 core AI skills (Embeddings, NLP, Pinecone); production Pinecone experience; response rate 65%."
CAND_0028287,79,0.719412,"Adjacent experience. Data Scientist — 5.7 years experience; 5 core AI skills (RAG, OpenSearch, Vector Search); production Pinecone experience; response rate 60%."
CAND_0075249,80,0.718919,"Adjacent experience. Applied ML Engineer — 6.2 years experience; 3 core AI skills (Milvus, Fine-tuning LLMs, Pinecone); production Milvus experience; high recruiter response (82%)."
CAND_0081053,81,0.7175,"Adjacent experience. NLP Engineer — 5.4 years experience; 3 core AI skills (pgvector, Semantic Search, OpenSearch); production Faiss experience; high recruiter response (83%)."
CAND_0083852,82,0.716444,"Adjacent experience. Data Scientist — 6.0 years experience; 3 core AI skills (Pinecone, pgvector, Information Retrieval); production Pinecone experience; high recruiter response (85%)."
CAND_0036184,83,0.715,"Adjacent experience. Recommendation Systems Engineer — 6.0 years experience; 5 core AI skills (FAISS, Semantic Search, Embeddings); production Faiss experience; high recruiter response (90%)."
CAND_0098780,84,0.712571,"Adjacent experience. AI Research Engineer — 5.9 years experience; 3 core AI skills (Semantic Search, Milvus, Pinecone); production Milvus experience; response rate 57%."
CAND_0043860,85,0.7125,"Adjacent experience. Junior ML Engineer — 6.1 years experience; 4 core AI skills (pgvector, Semantic Search, Information Retrieval); production Qdrant experience; high recruiter response (81%)."
CAND_0096142,86,0.71249,"Adjacent experience. Applied ML Engineer — 5.0 years experience; 3 core AI skills (Pinecone, RAG, NLP); production Pinecone experience; high recruiter response (84%). Concern: notice period 120 days may impact timeline."
CAND_0090155,87,0.708696,"Adjacent experience. ML Engineer — 5.8 years experience; 2 core AI skills (Milvus, Pinecone); production Milvus experience; response rate 64%."
CAND_0074735,88,0.707077,"Adjacent experience. Applied ML Engineer — 5.5 years experience; 5 core AI skills (RAG, Information Retrieval, Semantic Search); production Pinecone experience; high recruiter response (77%)."
CAND_0030827,89,0.70625,"Adjacent experience. Senior Data Scientist — 5.4 years experience; 4 core AI skills (NLP, Recommendation Systems, FAISS); production Faiss experience; response rate 52%. Concern: notice period 120 days may impact timeline."
CAND_0094165,90,0.705441,"Adjacent experience. AI Research Engineer — 5.8 years experience; 3 core AI skills (pgvector, Semantic Search, Pinecone); production Pgvector experience; high recruiter response (78%)."
CAND_0073007,91,0.703986,"Adjacent experience. AI Specialist — 5.8 years experience; 4 core AI skills (Milvus, Embeddings, FAISS); production Milvus experience; high recruiter response (83%)."
CAND_0061819,92,0.702246,"Adjacent experience. Junior ML Engineer — 5.0 years experience; 3 core AI skills (RAG, Milvus, FAISS); production Milvus experience; high recruiter response (79%). Concern: notice period 120 days may impact timeline."
CAND_0072688,93,0.700366,"Adjacent experience. Data Scientist — 6.9 years experience; 4 core AI skills (Milvus, Semantic Search, NLP); production Milvus experience; high recruiter response (87%)."
CAND_0033350,94,0.698095,"Adjacent experience. Data Scientist — 6.2 years experience; 2 core AI skills (Information Retrieval, OpenSearch); production Opensearch experience; high recruiter response (85%)."
CAND_0037566,95,0.697744,"Adjacent experience. Machine Learning Engineer — 6.9 years experience; 4 core AI skills (Pinecone, NLP, LLMs); production Pinecone experience; response rate 50%."
CAND_0048558,96,0.695443,"Adjacent experience. Data Scientist — 6.7 years experience; 3 core AI skills (Information Retrieval, OpenSearch, Elasticsearch); production Qdrant experience; high recruiter response (80%)."
CAND_0011327,97,0.692432,"Adjacent experience. AI Research Engineer — 6.3 years experience; 2 core AI skills (Semantic Search, OpenSearch); search/ranking mention; high recruiter response (79%)."
CAND_0051466,98,0.692419,"Adjacent experience. AI Research Engineer — 5.3 years experience; 2 core AI skills (Information Retrieval, Milvus); production Milvus experience; response rate 65%."
CAND_0035779,99,0.692076,"Adjacent experience. ML Engineer — 5.5 years experience; 2 core AI skills (Semantic Search, RAG); production Weaviate experience; high recruiter response (70%). Concern: notice period 120 days may impact timeline."
CAND_0048598,100,0.691913,Adjacent experience. Mobile Developer — 6.8 years experience; 1 core AI skill (Vector Search); search/ranking mention; high recruiter response (75%).
